,지역명,규모구분,연도,월,분양가격
454,광주,전용면적 102㎡초과,2016,3,2965.1990950226245
455,대전,전체,2016,3,2454.0
456,대전,전용면적 60㎡이하,2016,3,2585.0
457,대전,전용면적 60㎡초과 85㎡이하,2016,3,2428.0
458,대전,전용면적 85㎡초과 102㎡이하,2016,3,2461.0
459,대전,전용면적 102㎡초과,2016,3,2965.1990950226245
460,울산,전체,2016,3,3066.0
461,울산,전용면적 60㎡이하,2016,3,2584.0
462,울산,전용면적 60㎡초과 85㎡이하,2016,3,3075.0
463,울산,전용면적 85㎡초과 102㎡이하,2016,3,2663.0
464,울산,전용면적 102㎡초과,2016,3,3057.0
465,세종,전체,2016,3,2670.0
466,세종,전용면적 60㎡이하,2016,3,2601.0
467,세종,전용면적 60㎡초과 85㎡이하,2016,3,2681.0
468,세종,전용면적 85㎡초과 102㎡이하,2016,3,2670.0
469,세종,전용면적 102㎡초과,2016,3,2752.0
470,강원,전체,2016,3,2194.0
471,강원,전용면적 60㎡이하,2016,3,2249.0
472,강원,전용면적 60㎡초과 85㎡이하,2016,3,2221.0
473,강원,전용면적 85㎡초과 102㎡이하,2016,3,2965.1990950226245
474,강원,전용면적 102㎡초과,2016,3,2350.0
475,충북,전체,2016,3,1980.0
476,충북,전용면적 60㎡이하,2016,3,1925.0
477,충북,전용면적 60㎡초과 85㎡이하,2016,3,2021.0
478,충북,전용면적 85㎡초과 102㎡이하,2016,3,2276.0
479,충북,전용면적 102㎡초과,2016,3,2261.0
480,충남,전체,2016,3,2115.0
481,충남,전용면적 60㎡이하,2016,3,2226.0
482,충남,전용면적 60㎡초과 85㎡이하,2016,3,2114.0
483,충남,전용면적 85㎡초과 102㎡이하,2016,3,2541.0
484,충남,전용면적 102㎡초과,2016,3,2444.0
485,전북,전체,2016,3,1951.0
486,전북,전용면적 60㎡이하,2016,3,1910.0
487,전북,전용면적 60㎡초과 85㎡이하,2016,3,1959.0
488,전북,전용면적 85㎡초과 102㎡이하,2016,3,2269.0
489,전북,전용면적 102㎡초과,2016,3,2293.0
490,전남,전체,2016,3,1921.0
491,전남,전용면적 60㎡이하,2016,3,2002.0
